RDBMS_Type,RDBMS_Version,Native_Type,LT_Name,Logical_Type_ID
DB2/390,8,DBCLOB,"CLOB",LOGDT028,
DB2/390,8,DECIMAL,"DECIMAL",LOGDT026,
DB2/390,8,DOUBLE,"DOUBLE",LOGDT020,
DB2/390,8,FLOAT,"FLOAT",LOGDT021,
DB2/390,8,GRAPHIC,"GRAPHIC",LOGDT031,
DB2/390,8,INTEGER,"Integer",LOGDT011,
DB2/390,8,LONG VARCHAR,"VARCHAR",LOGDT024,
DB2/390,8,LONG VARGRAPHIC,"VARGRAPHIC",LOGDT023,
DB2/390,8,NUMERIC,"NUMERIC",LOGDT019,
DB2/390,8,REAL,"REAL",LOGDT022,
DB2/390,8,ROWID,"ROWID",LOGDT032,
DB2/390,8,SMALLINT,"SMALLINT",LOGDT018,
DB2/390,8,TIME,"Time",LOGDT014,
DB2/390,8,TIMESTAMP,"Timestamp",LOGDT015,
DB2/390,8,VARCHAR,"VARCHAR",LOGDT024,
DB2/390,8,VARGRAPHIC,"VARGRAPHIC",LOGDT023,
DB2/390,7,BLOB,"BLOB",LOGDT029,
DB2/390,7,CHAR,"CHAR",LOGDT025,
DB2/390,7,CLOB,"CLOB",LOGDT028,
DB2/390,7,DATE,"Date",LOGDT007,
DB2/390,7,DBCLOB,"CLOB",LOGDT028,
DB2/390,7,DECIMAL,"DECIMAL",LOGDT026,
DB2/390,7,DOUBLE,"DOUBLE",LOGDT020,
DB2/390,7,FLOAT,"FLOAT",LOGDT021,
DB2/390,7,GRAPHIC,"GRAPHIC",LOGDT031,
DB2/390,7,INTEGER,"Integer",LOGDT011,
DB2/390,7,LONG VARCHAR,"VARCHAR",LOGDT024,
DB2/390,7,LONG VARGRAPHIC,"VARGRAPHIC",LOGDT023,
DB2/390,7,NUMERIC,"NUMERIC",LOGDT019,
DB2/390,7,REAL,"REAL",LOGDT022,
DB2/390,7,ROWID,"ROWID",LOGDT032,
DB2/390,7,SMALLINT,"SMALLINT",LOGDT018,
DB2/390,7,TIMESTAMP,"Timestamp",LOGDT015,
DB2/390,7,TIME,"Time",LOGDT014,
DB2/390,7,VARCHAR,"VARCHAR",LOGDT024,
DB2/390,7,VARGRAPHIC,"VARGRAPHIC",LOGDT023,
DB2/UDB,9,BIGINT,"BIGINT",LOGDT027,
DB2/UDB,9,BLOB,"BLOB",LOGDT029,
DB2/UDB,9,CHAR,"CHAR",LOGDT025,
DB2/UDB,9,CLOB,"CLOB",LOGDT028,
DB2/UDB,9,DATALINK,"DATALINK",LOGDT030,
DB2/UDB,9,DATE,"Date",LOGDT007,
DB2/UDB,9,DBCLOB,"CLOB",LOGDT028,
DB2/UDB,9,DECIMAL,"DECIMAL",LOGDT026,
DB2/UDB,9,DECFLOAT,"DECFLOAT",69230305-AB6A-99EB-35A1-CC306D543604,
DB2/UDB,9,DOUBLE,"DOUBLE",LOGDT020,
DB2/UDB,9,GRAPHIC,"GRAPHIC",LOGDT031,
DB2/UDB,9,FLOAT,"FLOAT",LOGDT021,
DB2/UDB,9,INTEGER,"Integer",LOGDT011,
DB2/UDB,9,LONG VARCHAR,"VARCHAR",LOGDT024,
DB2/UDB,9,LONG VARGRAPHIC,"VARGRAPHIC",LOGDT023,
DB2/UDB,9,NUMERIC,"NUMERIC",LOGDT019,
DB2/UDB,9,REAL,"REAL",LOGDT022,
DB2/UDB,9,SMALLINT,"SMALLINT",LOGDT018,
DB2/UDB,9,TIMESTAMP,"Timestamp",LOGDT015,
DB2/UDB,9,TIME,"Time",LOGDT014,
DB2/UDB,9,VARCHAR,"VARCHAR",LOGDT024,
DB2/UDB,9,VARGRAPHIC,"VARGRAPHIC",LOGDT023,
DB2/UDB,9,XML,"XMLType",LOGDT050,
DB2/UDB,8.1,BIGINT,"BIGINT",LOGDT027,
DB2/UDB,8.1,BLOB,"BLOB",LOGDT029,
DB2/UDB,8.1,CHAR,"CHAR",LOGDT025,
DB2/UDB,8.1,CLOB,"CLOB",LOGDT028,
DB2/UDB,8.1,DATALINK,"DATALINK",LOGDT030,
DB2/UDB,8.1,DATE,"Date",LOGDT007,
DB2/UDB,8.1,DBCLOB,"CLOB",LOGDT028,
DB2/UDB,8.1,DECIMAL,"DECIMAL",LOGDT026,
DB2/UDB,8.1,DOUBLE,"DOUBLE",LOGDT020,
DB2/UDB,8.1,GRAPHIC,"GRAPHIC",LOGDT031,
DB2/UDB,8.1,FLOAT,"FLOAT",LOGDT021,
DB2/UDB,8.1,INTEGER,"Integer",LOGDT011,
